ID_EoL,BinomialName,Order,Family,Genus,Species,Domestication,1-1_ActivityCycle,5-1_AdultBodyMass_g,8-1_AdultForearmLen_mm,13-1_AdultHeadBodyLen_mm,2-1_AgeatEyeOpening_d,3-1_AgeatFirstBirth_d,18-1_BasalMetRate_mLO2hr,5-2_BasalMetRateMass_g,6-1_DietBreadth,7-1_DispersalAge_d,9-1_GestationLen_d,12-1_HabitatBreadth,22-1_HomeRange_km2,22-2_HomeRange_Indiv_km2,14-1_InterbirthInterval_d,15-1_LitterSize,16-1_LittersPerYear,17-1_MaxLongevity_m,5-3_NeonateBodyMass_g,13-2_NeonateHeadBodyLen_mm,21-1_PopulationDensity_n/km2,10-1_PopulationGrpSize,23-1_SexualMaturityAge_d,10-2_SocialGrpSize,24-1_TeatNumber,12-2_Terrestriality,6-2_TrophicLevel,25-1_WeaningAge_d,5-4_WeaningBodyMass_g,13-3_WeaningHeadBodyLen_mm,Diet,GestationPeriod,AVGFoodConsumption,Sociality,SocialHierarchy,NumMales,MaturityReachMale,MaturityReachFemale,MatingSystem,NumOffspring,BreedingInterval,YearRoundBreeding,AVGWeight,ParentalCare,DevelopmentStrategy,Horns/Antler,Topspeed,Lifespan,NaturalPredators,Motility,CarryWeight,PullStrength,AVGMovingSpeed,AVGTravelDistance
311907,Bubalus_bubalis,Artiodactyla,Bovidae,Bubalus,bubalis,,-999.00,929500.97,-999.00,2649.52,-999.00,-999.00,-999.00,-999.00,2.00,912.49,320.00,1.00,3.63,-999.00,547.50,1.50,1.00,339.00,-999.00,-999.00,1.06,-999.00,755.15,-999.00,-999,1.00,1,240.31,-999.00,-999.00,4,320,,2,1,,36.0000,18.0000,3,1.5,365,1,725,2,1,,,29,,1,,,,
328727,Bubalus_depressicornis,Artiodactyla,Bovidae,Bubalus,depressicornis,,3.00,256989.27,-999.00,1728.58,-999.00,-999.00,-999.00,-999.00,3.00,-999.00,295.78,1.00,-999.00,-999.00,-999.00,1.00,1.00,432.96,-999.00,-999.00,-999.00,-999.00,755.15,1.00,-999,1.00,1,-999.00,-999.00,-999.00,6,299.1482,,1,2,,24.0000,24.0000,NA,1,NA,1,155,2,NA,,,36,,1,,,,
328729,Bubalus_mindorensis,Artiodactyla,Bovidae,Bubalus,mindorensis,,2.00,254389.74,-999.00,2199.99,-999.00,-999.00,-999.00,-999.00,2.00,1095.00,306.06,1.00,-999.00,-999.00,1095.00,1.00,1.00,336.00,-999.00,-999.00,-999.00,11.00,755.15,1.00,-999,1.00,1,-999.00,-999.00,-999.00,4,299.6044,,1,2,,NA,NA,NA,1,1095,2,240,2,NA,,,25,,1,,,,
328730,Bubalus_quarlesi,Artiodactyla,Bovidae,Bubalus,quarlesi,,3.00,181718.86,-999.00,1577.97,-999.00,-999.00,-999.00,-999.00,3.00,-999.00,294.99,-999.00,-999.00,-999.00,-999.00,1.00,1.00,270.00,-999.00,-999.00,-999.00,-999.00,755.15,1.00,-999,-999.00,1,-999.00,-999.00,-999.00,4,299.1482,,1,2,,24.0000,24.0000,NA,1,NA,1,150,2,NA,,,25,,1,,,,
1038793,Budorcas_taxicolor,Artiodactyla,Bovidae,Budorcas,taxicolor,,-999.00,294515.33,-999.00,1736.00,-999.00,-999.00,-999.00,-999.00,3.00,-999.00,235.60,1.00,-999.00,-999.00,365.00,1.22,-999.00,234.96,-999.00,-999.00,-999.00,300.00,928.08,14.00,4,1.00,1,118.55,-999.00,-999.00,NA,212.9169,,1,2,,24.0000,24.0000,NA,1.22,365,NA,180,2,NA,,,19,,1,,,,
344581,Camelus_bactrianus,Artiodactyla,Camelidae,Camelus,bactrianus,,-999.00,554515.91,-999.00,-999.00,-999.00,1460.00,-999.00,-999.00,2.00,-999.00,397.99,1.00,-999.00,-999.00,730.00,1.39,1.00,480.00,34346.64,-999.00,0.06,-999.00,1330.60,6.20,-999,1.00,1,368.13,-999.00,-999.00,6,400,,2,1,,66.0000,48.0000,3,1.39,730,2,475,2,1,,,19,,1,,,,
309019,Camelus_dromedarius,Artiodactyla,Camelidae,Camelus,dromedarius,,3.00,492714.47,-999.00,-999.00,-999.00,1651.62,40293.00,407000.00,3.00,-999.00,386.51,1.00,196.32,-999.00,614.41,0.98,1.00,480.00,36751.19,-999.00,0.98,11.00,1947.94,10.00,-999,1.00,1,389.38,-999.00,-999.00,4,405,,2,2,,72.0000,36.0000,3,0.98,607,2,434,NA,1,,,40,,1,,,,
328689,Capra_caucasica,Artiodactyla,Bovidae,Capra,caucasica,,-999.00,58149.52,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,155.00,-999.00,-999.00,-999.00,-999.00,1.09,-999.00,264.00,-999.00,-999.00,-999.00,-999.00,1015.00,-999.00,3,-999.00,-999,-999.00,-999.00,-999.00,NA,157.1022,,2,1,,NA,NA,NA,1.09,NA,NA,70,NA,2,,,40,,1,,,,
328691,Capra_falconeri,Artiodactyla,Bovidae,Capra,falconeri,,3.00,54303.37,-999.00,1590.00,-999.00,730.00,-999.00,-999.00,2.00,-999.00,167.98,1.00,-999.00,-999.00,-999.00,1.73,-999.00,168.00,-999.00,-999.00,-999.00,11.00,1015.00,-999.00,-999,1.00,1,167.29,-999.00,-999.00,6,154.6689,,1,1,,36.0000,24.0000,3,1.73,NA,2,41,2,NA,,,12,,1,,,,
328660,Capra_hircus,Artiodactyla,Bovidae,Capra,hircus,,-999.00,47386.47,-999.00,-999.00,-999.00,669.16,-999.00,-999.00,2.00,-999.00,156.00,-999.00,98.30,47.24,365.00,1.45,-999.00,249.60,2136.11,375.56,7.58,-999.00,498.97,-999.00,3,-999.00,1,158.04,-999.00,-999.00,4,150.5626,,2,1,,6.5000,12.0000,3,1.45,451,2,61,2,2,,,20,,1,,,,
328692,Capra_ibex,Artiodactyla,Bovidae,Capra,ibex,,-999.00,69546.83,-999.00,-999.00,-999.00,912.50,-999.00,-999.00,2.00,-999.00,167.50,1.00,-999.00,-999.00,547.50,1.11,-999.00,267.60,2779.07,-999.00,-999.00,-999.00,838.54,-999.00,3,1.00,1,111.75,15683.39,-999.00,6,165.7710,,1,1,,10.0000,10.0000,3,1.11,489,2,82,2,2,,,20,,1,,,,
328693,Capra_nubiana,Artiodactyla,Bovidae,Capra,nubiana,,-999.00,47763.72,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,150.00,-999.00,-999.00,-999.00,-999.00,1.00,-999.00,204.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999,-999.00,-999,-999.00,-999.00,-999.00,4,159.6876,,2,1,,54.0000,24.0000,3,1,NA,2,46,2,1,,,20,,1,,,,
328694,Capra_pyrenaica,Artiodactyla,Bovidae,Capra,pyrenaica,,-999.00,60898.77,-999.00,1200.00,-999.00,-999.00,-999.00,-999.00,2.00,-999.00,150.00,-999.00,0.64,0.51,-999.00,1.50,-999.00,192.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,3,-999.00,1,-999.00,-999.00,-999.00,6,166.8355,,2,1,,27.0000,27.0000,3,1.5,NA,2,57,NA,2,,,20,,1,,,,
328695,Capra_sibirica,Artiodactyla,Bovidae,Capra,sibirica,,-999.00,130000.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,175.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,267.00,3640.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999,-999.00,-999,-999.00,-999.00,-999.00,4,177.4814,,2,1,,60.0000,24.0000,3,NA,NA,2,130,2,2,,,20,,1,,,,
328696,Capra_walie,Artiodactyla,Bovidae,Capra,walie,,-999.00,100144.02,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,157.50,1.00,-999.00,-999.00,-999.00,1.00,-999.00,-999.00,-999.00,-999.00,4.07,-999.00,-999.00,-999.00,-999,1.00,-999,-999.00,-999.00,-999.00,4,NA,,2,1,,12.0000,12.0000,3,1,NA,2,NA,2,2,,,NA,,NA,,,,
308479,Capreolus_capreolus,Artiodactyla,Cervidae,Capreolus,capreolus,,2.00,22502.01,-999.00,-999.00,-999.00,730.00,78470.00,190000.00,-999.00,-999.00,196.00,1.00,0.52,0.49,365.00,1.79,-999.00,204.00,1208.55,-999.00,7.61,-999.00,400.97,-999.00,-999,1.00,-999,79.75,-999.00,-999.00,NA,304.1670,,2,2,,21.5342,13.5781,NA,1.79,365,NA,216,2,NA,,,15,,1,,,,
129573,Capreolus_pygargus,Artiodactyla,Cervidae,Capreolus,pygargus,,2.00,41371.03,-999.00,1320.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,290.00,1.00,0.99,1.06,-999.00,2.00,-999.00,-999.00,1923.53,-999.00,80.00,-999.00,908.84,-999.00,-999,1.00,-999,136.10,-999.00,-999.00,NA,NA,,NA,2,,NA,NA,NA,2,NA,NA,39,2,NA,,,NA,,1,,,,
1038800,Capricornis_crispus,Artiodactyla,Bovidae,Capricornis,crispus,,-999.00,43030.64,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,1603.59,213.00,-999.00,0.11,0.11,547.50,1.00,1.00,222.96,3499.99,-999.00,1.98,-999.00,988.23,-999.00,4,-999.00,-999,59.27,-999.00,-999.00,4,218.0877,,1,2,,33.0000,33.0000,1,1,5475,2,NA,2,2,,,15,,1,,,,
7216318,Capricornis_milneedwardsii,Artiodactyla,Bovidae,Capricornis,milneedwardsii,,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999,-999.00,-999,-999.00,-999.00,-999.00,NA,NA,,NA,2,,NA,NA,NA,NA,NA,NA,NA,2,NA,,,NA,,NA,,,,
